|                 wl |       k_e | k_ff_Hmenos |   k_ff_HI | k_bf_Hmenos_n1 | k_bf_HI_n1 | k_bf_HI_n2 | k_bf_HI_n3 | k_bf_HI_sum |     k_tot |
|  910.3557835318047 | 1.200e-11 |   2.328e-09 | 6.147e-14 |      1.495e-07 |  1.017e+01 |  5.755e-10 |  3.149e-12 |   1.017e+01 | 1.017e+01 |
|  912.1783176329694 | 1.200e-11 |   2.335e-09 | 6.183e-14 |      1.498e-07 |  0.000e+00 |  5.788e-10 |  3.168e-12 |   5.820e-10 | 1.527e-07 |
|  3641.423134127219 | 1.200e-11 |   2.252e-08 | 3.779e-12 |      7.964e-07 |  0.000e+00 |  3.019e-08 |  1.797e-10 |   3.037e-08 | 8.493e-07 |
| 3648.7132705318777 | 1.200e-11 |   2.260e-08 | 3.801e-12 |      7.984e-07 |  0.000e+00 |  0.000e+00 |  1.808e-10 |   1.808e-10 | 8.211e-07 |
|  8193.202051786246 | 1.200e-11 |   9.848e-08 | 4.121e-11 |      1.543e-06 |  0.000e+00 |  0.000e+00 |  1.783e-09 |   1.783e-09 | 1.644e-06 |
|  8209.604858696728 | 1.200e-11 |   9.885e-08 | 4.145e-11 |      1.544e-06 |  0.000e+00 |  0.000e+00 |  0.000e+00 |   0.000e+00 | 1.642e-06 |
