|      wl |       k_e | k_ff_Hmenos |    k_ff_HI | k_bf_Hmenos_n1 | k_bf_HI_n1 | k_bf_HI_n2 | k_bf_HI_n3 |
|   800.0 | 3.560e-02 |  -7.482e+73 | -3.990e+09 |      1.915e-21 | -2.735e+09 | -2.259e-02 | -8.670e-05 |
| 20000.0 | 3.560e-02 |  -4.243e+48 | -4.584e+13 |      1.915e-21 |  6.218e+13 | -9.401e+01 | -6.864e-01 |
