| lgTauR |                 Ne |                     HI |                HII |             Hmenos |                  HI_n1 |              HI_n2 |              HI_n3 |
|   -0.3 |  226071683532376.0 | 1.5796494025266988e+16 | 226074914839753.66 |  3231307377.669083 | 1.5796473280359512e+16 | 18223189132.766296 |  2521718342.283691 |
|    0.7 | 3414999397606772.5 |     8387589088660174.0 | 3415011070695132.5 | 11673088360.147373 |     8386764214241529.0 |  634391760678.6425 | 190482657967.58893 |
