|      wl |       k_e | k_ff_Hmenos |   k_ff_HI | k_bf_Hmenos_n1 | k_bf_HI_n1 | k_bf_HI_n2 | k_bf_HI_n3 |
|   800.0 | 2.220e-02 |   0.000e+00 | 1.026e+09 |      3.069e-22 |  1.417e+09 |  8.421e+01 |  1.674e+00 |
| 20000.0 | 2.220e-02 |   0.000e+00 | 9.532e+12 |      3.069e-22 | -2.505e+13 |  2.724e+05 |  1.030e+04 |
