|                 wl |      k_tot |
|             2240.0 |  5.345e+00 |
|             2250.0 |  5.395e+00 |
|             2260.0 |  5.444e+00 |
|             2270.0 |  5.494e+00 |
|             2280.0 |  5.544e+00 |
|             2290.0 |  5.593e+00 |
|             2300.0 |  5.643e+00 |
|             2310.0 |  5.693e+00 |
|             2320.0 |  5.743e+00 |
|             2330.0 |  5.793e+00 |
|             2340.0 |  5.843e+00 |
|             2350.0 |  5.893e+00 |
|             2360.0 |  5.943e+00 |
|             2370.0 |  5.993e+00 |
|             2380.0 |  6.044e+00 |
|             2390.0 |  6.094e+00 |
|             2400.0 |  6.144e+00 |
|             2410.0 |  6.194e+00 |
| 2419.9999999999995 |  6.245e+00 |
|             2430.0 |  6.295e+00 |
| 2439.9999999999995 |  6.345e+00 |
|             2450.0 |  6.396e+00 |
|             2460.0 |  6.446e+00 |
|             2470.0 |  6.496e+00 |
|             2480.0 |  6.546e+00 |
| 2489.9999999999995 |  6.597e+00 |
|             2500.0 |  6.647e+00 |
|             2510.0 |  6.697e+00 |
|             2520.0 |  6.747e+00 |
|             2530.0 |  6.798e+00 |
| 2539.9999999999995 |  6.848e+00 |
|             2550.0 |  6.898e+00 |
|             2560.0 |  6.948e+00 |
|             2570.0 |  6.998e+00 |
|             2580.0 |  7.048e+00 |
|             2590.0 |  7.098e+00 |
|             2600.0 |  7.148e+00 |
| 2609.9999999999995 |  7.197e+00 |
|             2620.0 |  7.247e+00 |
|             2630.0 |  7.297e+00 |
|             2640.0 |  7.346e+00 |
|             2650.0 |  7.396e+00 |
| 2659.9999999999995 |  7.445e+00 |
|             2670.0 |  7.494e+00 |
|             2680.0 |  7.543e+00 |
|             2690.0 |  7.593e+00 |
|             2700.0 |  7.641e+00 |
|             2710.0 |  7.690e+00 |
|             2720.0 |  7.739e+00 |
| 2729.9999999999995 |  7.787e+00 |
|             2740.0 |  7.836e+00 |
|             2750.0 |  7.884e+00 |
|             2760.0 |  7.932e+00 |
|             2770.0 |  7.980e+00 |
| 2779.9999999999995 |  8.028e+00 |
|             2790.0 |  8.076e+00 |
|             2800.0 |  8.123e+00 |
