| lgTauR |                 Ne |                     HI |                HII |             Hmenos |                  HI_n1 |              HI_n2 |              HI_n3 |
|   -0.4 |   9187067582952.74 | 1.1635540751117302e+19 |  9577317310546.469 | 390249727593.72845 | 1.1635540749716638e+19 | 1366209997.2630458 | 34456301.707230315 |
|   -0.3 |  10911847549286.89 |  7.418914276965703e+18 | 11185738851284.266 | 273891301997.37354 |  7.418914275402604e+18 | 1520581306.2326853 |  42517161.05970875 |
|   -0.2 | 13009458921150.352 | 4.5303371422927396e+18 |  13193076716289.13 | 183617795138.77936 | 4.5303371405530066e+18 | 1687046199.1175191 |  52687201.91615873 |
|   -0.1 | 15643024772023.475 | 2.6749850501874447e+18 |  15762302281106.41 | 119277509082.93436 |  2.674985048240285e+18 |  1881072874.033581 | 66086256.536830604 |
|   -0.0 | 19194558196567.188 | 1.5621814311078513e+18 |  19272244237781.13 |  77686041213.94244 |  1.562181428867426e+18 | 2154669405.8580213 |  85756068.76720144 |
|    0.1 | 24520560395265.715 |  9.402799962358243e+17 |  24574491782504.75 |   53931387239.0338 |  9.402799934789453e+17 | 2637176479.6860585 |  119702594.8567253 |
|    0.2 | 33405942624247.867 |   6.12160267741256e+17 |  33448834055133.04 |  42891430885.16953 |  6.121602639367401e+17 | 3616102730.2902822 | 188413214.11169294 |
|    0.3 |  49061810394109.26 |  4.453632096674366e+17 |  49102656105874.88 |  40845711765.62594 |  4.453632036345475e+17 |  5690831496.095986 |  342057600.6798725 |
|    0.4 |  78146120038590.75 | 3.5626742538637574e+17 |   78192069020490.2 |  45948981899.44996 |  3.562674143519656e+17 | 10313162086.047186 |  721248105.7890165 |
|    0.5 | 132659386853976.67 | 3.0747168632435334e+17 | 132718331009719.81 | 58944155743.137825 |  3.074716637454775e+17 | 20869848838.308884 | 1709026898.9539974 |
|    0.6 | 215125374578892.03 | 2.8457957529416205e+17 |  215204036998406.4 |  78662419514.39793 |  2.845795311790423e+17 |  40330126952.09097 |  3784992808.886481 |
|    0.7 |  323376913742836.5 | 2.7358678607051315e+17 |  323479983404618.8 | 103069661782.29034 | 2.7358670793092285e+17 |  70720986425.38644 |  7418603911.634979 |
|    0.8 |  456074169983068.1 | 2.6803694573416186e+17 | 456205307985987.44 | 131138002919.27226 | 2.6803681874120246e+17 | 113893715564.49734 | 13099243841.106003 |
|    0.9 |  612014651227230.1 | 2.6553331501857885e+17 |  612177100892899.6 |  162449665669.5183 |    2.6553312221784e+17 | 171487597664.92758 | 21313141145.327496 |
|    1.0 |  791798688737764.8 | 2.6473305939681453e+17 |  791995634150746.6 | 196945412981.92062 |  2.647327811139023e+17 |  245635526302.8969 | 32647385925.262142 |
|    1.2 | 1221510105124440.2 | 2.6665873622154243e+17 | 1221785776995497.0 | 275671871056.73773 | 2.6665821841424208e+17 |  450843516188.5534 | 66963784142.914665 |
|    1.4 | 1782110691642432.5 |  2.715434918527898e+17 | 1782484494438998.2 |   373802796565.728 | 2.7154259965968397e+17 |  766926458593.6831 |  125266647203.3641 |
|    1.6 | 2508252678879110.0 | 2.7872634485432173e+17 | 2508749742784098.0 | 497063904988.55237 | 2.7872488143706083e+17 | 1242561715482.4656 | 220855545429.45218 |
|    1.8 | 3446056736912707.0 |  2.882916631892035e+17 | 3446710655894425.0 |  653918981718.2168 |  2.882893395097898e+17 | 1949399336947.8518 |   374280076708.935 |
|    2.0 | 4656285526132707.0 |  3.002623843787233e+17 | 4657140901364044.0 |  855375231336.5249 |  3.002587748868162e+17 | 2992216770388.1167 |  617275136720.5417 |
